Sample,X(ms) [10.09.0265 14:21:23 692 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
0,0.000000,80,30.1613101959229,100
1,0.000000,80,30.1613101959229,100
2,319.230300,80,30.1613101959229,100
3,634.451700,80,30.1613101959229,100
4,941.669600,80,30.1613101959229,100
5,1247.886000,80,0.470196813344955,100
6,1543.095400,80,0.426793992519379,100
7,1852.314700,80,0.397858798503876,100
8,2164.539200,80,0.470196813344955,100
9,2464.753800,80,0.491898089647293,100
10,2772.971100,80,0.401475697755814,100
11,3074.186900,80,0.481047511100769,100
12,3389.412200,80,0.44126158952713,100
13,3683.620900,80,0.434027791023254,100
14,3996.840500,80,0.372540503740311,100
15,4344.087300,80,0.46296301484108,100
16,4620.286100,80,0.477430611848831,100
17,4932.505000,80,0.434027791023254,100
18,5225.712500,80,0.488281309604645,100
19,5538.935100,80,0.434027791023254,100
20,5854.161700,80,0.491898089647293,100
21,6165.380300,80,0.614872694015503,100
22,6476.606700,80,1.47931098937988,100
23,6811.843600,80,3.13585090637207,100
24,7090.039200,80,3.4469039440155,100
25,7397.258400,80,4.07262706756592,100
26,7710.478400,80,5.13237905502319,100
27,8064.732700,80,6.17042779922485,100
28,8343.929000,80,7.03486680984497,100
29,8648.146500,80,8.14163780212402,100
30,8953.361700,80,8.88671875,100
31,9302.614600,80,10.1200799942017,100
32,9568.803400,80,11.1219596862793,100
33,9870.017400,80,11.1074895858765,100
34,10184.236500,80,13.2342300415039,100
35,10496.460100,80,14.4169597625732,100
36,10807.679600,80,14.5652503967285,100
37,11105.894500,80,16.2471103668213,100
38,11414.112700,80,16.7860202789307,100
39,11727.336600,80,17.755350112915,100
40,12038.556000,80,18.5149002075195,100
41,12359.784700,80,19.9978294372559,100
42,12646.988000,80,21.314380645752,100
43,12949.204100,80,21.6001091003418,100
44,13259.422400,80,22.6888008117676,100
45,13596.662900,80,22.9600696563721,100
46,13870.859500,80,23.9474792480469,100
47,14184.085100,80,25.0144691467285,100
48,14497.305600,80,26.2550601959229,100
49,14809.524900,80,27.0326995849609,100
50,15120.745200,80,28.1286201477051,100
51,15432.968800,80,28.7615699768066,100
52,15727.179600,80,29.9587707519531,100
53,16028.391500,80,30.5989608764648,100
54,16344.615800,80,31.6008396148682,100
55,16659.842900,80,33.0656814575195,100
56,16960.054100,80,33.8216094970703,100
57,17276.278000,80,34.5811614990234,100
58,17611.519200,80,35.6517601013184,100
59,17887.712100,80,36.158130645752,100
60,18196.933500,80,37.0334205627441,100
61,18499.149200,80,37.5,100
62,18811.369400,80,38.1438102722168,100
63,19122.592200,80,38.8635711669922,100
64,19450.826800,80,39.2541999816895,100
65,19738.026200,80,40.1439514160156,100
66,20026.232700,80,40.6032981872559,100
67,20335.452500,80,41.2290191650391,100
68,20636.666600,80,41.8258094787598,100
69,20967.902000,80,42.2164306640625,100
70,21262.109300,80,43.193000793457,100
71,21572.332400,80,43.8006401062012,100
72,21920.579000,80,43.9453086853027,100
73,22223.793700,80,45.287181854248,100
74,22515.002700,80,45.4246215820313,100
75,22822.221900,80,46.166088104248,100
76,23137.446400,80,47.0088195800781,100
77,23448.667600,80,47.0052108764648,100
78,23759.886200,80,48.2458000183105,100
79,24095.125300,80,49.2332191467285,100
80,24378.327400,80,50.2387199401855,100
81,24669.531800,80,51.8337707519531,100
82,24980.752100,80,53.0779800415039,100
83,25289.972700,80,53.5011596679688,100
84,25626.216400,80,54.9298286437988,100
85,25901.408100,80,55.7436294555664,100
86,26209.626300,80,56.9046592712402,100
87,26515.844800,80,57.9897308349609,100
88,26824.063000,80,58.6335296630859,100
89,27126.277300,80,60.2756118774414,100
90,27440.501900,80,61.0568618774414,100
91,27789.750600,80,62.7133903503418,100
92,28068.946900,80,63.3427391052246,100
93,28372.163600,80,63.1872100830078,100
94,28663.369300,80,64.8690567016602,93.8234481811523
95,28975.595000,80,64.8039627075195,100
96,29276.805300,80,64.8075790405273,100
97,29588.028200,80,65.7949905395508,94.6091918945313
98,29901.251200,80,66.6521987915039,86.665168762207
99,30210.470900,80,67.0283584594727,85.726448059082
100,30511.683700,80,67.6793975830078,82.9826507568359
101,30851.927200,80,67.8927917480469,82.3984985351563
102,31143.137600,80,68.6631927490234,77.9107437133789
103,31452.351800,80,69.0718994140625,76.7615127563477
104,31763.573000,80,69.0031814575195,78.0521926879883
105,32102.816700,80,69.3793411254883,75.2393035888672
106,32385.015900,80,69.2816772460938,76.6983032226563
107,32697.236100,80,69.7627334594727,73.6614532470703
108,33040.482200,80,69.8712387084961,71.7661666870117
109,33306.673100,80,70.2365417480469,65.9966735839844
110,33617.892100,80,70.3052673339844,70.4925231933594
111,33919.104500,80,70.1244201660156,73.2030715942383
112,34248.340200,80,71.2275772094727,53.5868988037109
113,34539.547500,80,71.0901336669922,57.3128890991211
114,34852.769700,80,70.7175903320313,64.5872116088867
115,35210.023600,80,71.1009826660156,59.4309196472168
116,35485.219600,80,70.4933471679688,70.3767013549805
117,35788.437200,80,70.6090927124023,66.5262069702148
118,36101.656900,80,71.7194671630859,49.8460311889648
119,36433.893800,80,71.0973663330078,63.0064315795898
120,36713.090100,80,70.8261032104492,67.2632369995117
121,37013.306000,80,70.7501373291016,67.3797073364258
122,37321.524200,80,71.2167205810547,58.6003494262695
123,37643.755400,80,71.1009826660156,62.8011207580566
124,37952.973800,80,71.09375,65.2558364868164
125,38265.194000,80,71.6796875,52.7759704589844
126,38610.439800,80,71.1009826660156,65.9417419433594
127,38888.638400,80,71.8135070800781,52.3611488342285
128,39196.857800,80,71.8098983764648,52.0802307128906
129,39498.071100,80,70.8550262451172,70.9700927734375
130,39807.293000,80,71.1009826660156,63.9555892944336
131,40122.513100,80,71.1950225830078,65.5883178710938
132,40415.721500,80,71.1009826660156,64.3246231079102
133,40716.935600,80,71.2348098754883,64.6167678833008
134,41045.169300,80,71.1009826660156,64.6445083618164
135,41334.374400,80,71.0973663330078,62.6981506347656
136,41634.591200,80,70.8550262451172,66.7587738037109
137,41949.812600,80,70.9779968261719,63.51416015625
138,42264.037200,80,71.1588516235352,59.5403709411621
139,42591.269800,80,71.1190567016602,66.2242965698242
140,42890.480300,80,71.357780456543,60.0798187255859
141,43183.690400,80,71.6832962036133,54.1996192932129
142,43494.909800,80,71.025016784668,62.3607597351074
143,43801.130000,80,71.8424530029297,50.4998016357422
144,44102.341500,80,72.2800903320313,43.9216918945313
145,44414.564700,80,71.1009826660156,69.6278610229492
146,44757.807800,80,71.5964965820313,54.0507316589355
147,45038.008200,80,71.1009826660156,64.0411605834961
148,45351.232900,80,71.8424530029297,51.7790603637695
149,45704.480600,80,71.9654235839844,51.1658782958984
150,45977.678100,80,71.1009826660156,65.7199630737305
151,46289.898300,80,71.58203125,55.1384506225586
152,46589.111000,80,71.0720367431641,66.4414520263672
153,46926.350600,80,70.9779968261719,66.449577331543
154,47217.559300,80,70.8550262451172,66.6606063842773
155,47515.769500,80,70.8550262451172,67.9015731811523
156,47819.983600,80,70.985237121582,66.3346710205078
157,48158.224400,80,71.0865173339844,62.6958198547363
158,48453.438100,80,71.0720367431641,62.5740089416504
159,48756.652300,80,71.5747985839844,53.6349601745605
160,49059.866500,80,71.1733169555664,63.6494293212891
161,49371.086800,80,71.2275772094727,62.2628784179688
162,49679.305000,80,70.9816284179688,65.790283203125
163,49991.528600,80,71.0069427490234,64.2514038085938
164,50346.781900,80,71.1118316650391,67.7222366333008
165,50623.979800,80,70.7935485839844,69.0733337402344
166,50918.185400,80,71.0358810424805,62.5982513427734
167,51229.410500,80,70.869499206543,70.5794677734375
168,51574.652000,80,71.6399002075195,51.960521697998
169,51849.851000,80,70.8550262451172,69.1520690917969
170,52163.072300,80,70.99609375,67.9970169067383
171,52479.295700,80,71.1045989990234,63.4372406005859
172,52789.516200,80,71.6254272460938,55.2188682556152
173,53088.731000,80,71.0322570800781,61.824520111084
174,53401.951000,80,71.2130966186523,59.8252983093262
175,53703.165100,80,72.0413665771484,45.0757293701172
176,54035.400800,80,71.553092956543,57.0154609680176
177,54324.608000,80,72.0883865356445,50.6188201904297
178,54633.828200,80,71.1045989990234,67.7091979980469
179,54948.051100,80,71.8424530029297,53.1164703369141
180,55280.285900,80,71.58203125,56.526050567627
181,55571.496300,80,71.09375,66.2070465087891
182,55883.714400,80,71.8424530029297,53.8258781433105
183,56237.966500,80,71.0865173339844,65.5641937255859
184,56500.153300,80,71.7013931274414,52.5075492858887
185,56805.373200,80,70.9779968261719,67.9431610107422
186,57119.595200,80,70.9779968261719,65.3434371948242
187,57452.831200,80,71.58203125,54.353458404541
188,57755.046400,80,71.2275772094727,63.3770713806152
189,58042.250100,80,71.0214080810547,64.1822662353516
190,58351.468600,80,71.9401016235352,46.8036918640137
191,58663.691300,80,71.1009826660156,67.2501907348633
192,58964.905400,80,71.3433227539063,61.3365211486816
193,59275.125900,80,70.8550262451172,68.3888931274414
194,59573.342500,80,70.8550262451172,65.9795303344727
195,59887.561100,80,71.2348098754883,63.2071990966797
196,60243.813900,80,71.0141830444336,65.9960327148438
197,60543.031600,80,71.1045989990234,62.0646095275879
198,60824.229800,80,71.1190567016602,66.0823364257813
199,61122.440400,80,70.9779968261719,66.0961837768555
200,61431.660200,80,70.9924774169922,64.3510971069336
201,61781.907400,80,71.1226806640625,66.2287368774414
202,62058.106700,80,71.3505477905273,60.1813507080078
203,62367.324300,80,71.1118316650391,68.4593124389648
204,62680.544800,80,70.7465286254883,70.5896835327148
205,63034.800400,80,70.8803482055664,70.7023468017578
206,63310.993700,80,70.8550262451172,66.9711608886719
207,63606.205200,80,70.9779968261719,63.9135589599609
208,63913.424800,80,72.0558471679688,45.581901550293
209,64234.649700,80,71.0105590820313,68.717903137207
210,64523.858200,80,71.7520217895508,53.9757499694824
211,64851.087800,80,70.9779968261719,68.0183181762695
212,65200.336000,80,71.2058715820313,59.7516098022461
213,65463.523400,80,71.8279800415039,51.4059104919434
214,65779.750700,80,71.4590530395508,57.5216217041016
215,66087.969300,80,71.9364929199219,49.9873199462891
216,66417.205500,80,71.2275772094727,65.7927932739258
217,66695.400600,80,70.7501373291016,71.4642868041992
218,67010.626800,80,71.2275772094727,59.9826011657715
219,67361.876800,80,71.0503463745117,68.0388717651367
220,67640.071100,80,71.9111709594727,48.2146301269531
221,67947.288200,80,71.2275772094727,64.9447402954102
222,68268.518200,80,70.9779968261719,66.8961563110352
223,68609.759000,80,71.7050018310547,52.2211990356445
